IssueID,Issue,Participant ID,If get critized,If critized others,Comments,"1 (not at all specific to VA systems, e.g., generic paper-writing issues) to 7 (extremely specific to VA systems)",Do you think this problem is related to others?
16,Unclear novelty of visual design,2,Y,Y,It depends on whether some parts are novel enough.,4,
17,Unclear rationale and insufficient justifications of visual designs,2,Y,Y,Refer to guidelines.,3,
18,Problematic visual designs,2,Y,Y,A major problem.,1,
19,Missing discussions about alternative designs,2,Y,Y,I did user studies to compare with alternative designs.,3,
20,Over-complicated visual designs,2,N,N,"Some system requirements need complex designs. Some system components can be simplified, e.g., removing filters/sliders.",6,
21,Lacking workflow overviews or system demonstration,2,Y,Y,I usually did not write this part.,7,
22,Uncertainty/stability/sensibility,2,Y,Y,,1,
23,Scalability,2,Y,Y,Usually discuss it. It also depends on whether the system has claimed to handle large datasets.,1,
24,Generalizability,2,Y,Y,"Discuss. An application-driven VA system is not for general purposes. It is good if some components of the system can generalize, such as some algorithms or some visual designs.",1,
25,Usability,2,N,Y,Usability is reflected in the case study.,1,
26,Evaluations are incomplete and insufficient,2,Y,Y,Very hard. It is hard to conduct user studies for VA systems since there are not so many experts.,1,
27,Unclear evaluation methods and protocols,2,N,Y,"Follow the ""template"".",1,
28,Lacking realism,2,N,N,Usage scenario is not evaluation.,1,
29,Lacking comparison with baseline approaches,2,Y,Y,Probably compare with previous versions.,1,
30,Lacking quantitative evaluation and feedback,2,N,N,,1,
31,Insights are suspicious or not new,2,Y,Y,,7,
32,Unclear interpretation of expert feedback,2,Y,Y,Discuss experts' feedback during the iterative design process.,5,
33,Insufficient discussions on limitations and implications,2,Y,Y,Most challenging part for me. It is hard to summarize general implications from an application.,1,
34,Various presentation issues,2,Y,Y,,1,
35,Ethics,2,N,N,,1,
36,Open-source,2,N,N,"Sometimes I want the data, not the codes.",1,
1,Lacking arcs of coherence and consistency,3,N,Y,A common problem if not following a systematic approach to design and develop VA systems.,1,
2,Unclear relevance to visual analytics,3,N,N,,7,
3,Unclear/over-claimed contributions,3,Y,Y,Quite common. It is both problematic to over and under claim.,1,
4,Unclear contributions to the visualization community,3,N,Y,I expect novel designs as visualization researchers.,4,
5,Unclear novelty of VA systems,3,Y,Y,,1,
6,Missing related work,3,N,Y,,1,
7,Inadequate discussion about related work,3,N,Y,,1,
8,Unclear domain experts or target users,3,N,N,,5,
9,Unclear methodology and methods for problem abstraction,3,N,N,"Needs to describe the overall progress first. Without an overview, I sometimes get lost.",5,
10,Insufficient abstraction,3,Y,Y,,1,
11,Unclear definitions and explanations of data,3,Y,Y,,1,
12,Missing technical details,3,Y,Y,,1,
13,Novel data processing algorithms,3,N,N,,1,
14,Unclear justifications of algorithms/models,3,Y,Y,"It can be because the choices are poorly made, or the authors do not discuss the reasons.",1,
15,Missing details and insufficient explanations of visual designs,3,Y,Y,"Explain together with figures. I recommend a flow from the overview, moving to each view, followed by interactions among views. This might be lengthy but clear.",4,
16,Unclear novelty of visual design,3,Y,Y,,3,
17,Unclear rationale and insufficient justifications of visual designs,3,Y,Y,Discuss the experts' comments and preferences.,4,
18,Problematic visual designs,3,N,Y,Color issues.,4,
19,Missing discussions about alternative designs,3,Y,Y,Discuss against previous visualization methods.,5,
20,Over-complicated visual designs,3,N,Y,"Complex designs are hard to learn. This might result from poor summarization of design goals, let's say, some redundancies.",6,
21,Lacking workflow overviews or system demonstration,3,N,Y,I usually provide such information.,6,
22,Uncertainty/stability/sensibility,3,Y,Y,Hard to address. Usually as a limitation.,3,
23,Scalability,3,Y,Y,,1,
24,Generalizability,3,Y,Y,,1,
25,Usability,3,Y,Y,,1,Related to system complexity.
26,Evaluations are incomplete and insufficient,3,Y,Y,Hard to conduct user studies.,1,
27,Unclear evaluation methods and protocols,3,Y,Y,,1,
28,Lacking realism,3,N,N,,1,
29,Lacking comparison with baseline approaches,3,N,N,It depends on whether there are baselines. In some cases there are clear baselines.,1,
30,Lacking quantitative evaluation and feedback,3,N,N,,1,
31,Insights are suspicious or not new,3,Y,Y,Clearly discuss the insights and why they are important to the experts.,1,
32,Unclear interpretation of expert feedback,3,Y,Y,Discuss both the pros and cons of the systems and offer suggestions for future work.,1,
33,Insufficient discussions on limitations and implications,3,N,Y,It depends on the design progress and whether there are valuable lessons learned.,1,
34,Various presentation issues,3,Y,Y,,5,
35,Ethics,3,N,N,,5,
36,Open-source,3,N,N,Better to do so. Can claim as a contribution if do so.,5,
1,Lacking arcs of coherence and consistency,4,Y,Y,VA systems cover too many aspects such as tasks. Some tasks claimed earlier might not be covered later. A formal model for the connections between components might help.,2,
2,Unclear relevance to visual analytics,4,N,Y,,6,
3,Unclear/over-claimed contributions,4,Y,Y,,1,
4,Unclear contributions to the visualization community,4,Y,Y,It is a contribution to first apply VA to specific domians. Poor generalizability could degrade the contribution.,1,
5,Unclear novelty of VA systems,4,Y,Y,"It is common to combine existing techniques to develop a VA system, which is often enough to solve the domain problem. ",3,
6,Missing related work,4,Y,Y,Needs to survey visualization for the domain problem and visualization for the abstract data.,1,
7,Inadequate discussion about related work,4,Y,Y,Differentiate what the differences are.,1,
8,Unclear domain experts or target users,4,Y,Y,It is better to explain their experiences with visualization as well. What is their level of visualization knowledge?,7,
9,Unclear methodology and methods for domain problem abstraction,4,N,N,,6,
10,Insufficient abstraction to visualization tasks,4,Y,Y,Hard to abstract because some domain problems are messy. This requires more theoretical research to guide the progress.,6,
11,Unclear definitions and explanations of data,4,N,Y,Some data is too complex to understand. Introduce the data sources and structure.,1,
12,Missing technical details,4,Y,Y,It is often limited by the page length.,1,
13,Novel data processing algorithms,4,N,N,It depends on whether this is claimed as a contribution.,1,
14,Unclear justifications of algorithms/models,4,N,Y,"There might exist many algorithms, thus it is important to explain the choices. Otherwise the decision seems arbitrary and not scientific.",1,
15,Missing details and insufficient explanations of visual designs,4,Y,Y,The figure should include the legend. It might help to provide examples.,6,
16,Unclear novelty of visual design,4,Y,Y,"There have been a large number of visual designs. It is harder and harder to come up with new visualization designs. Sometimes the novelty is ""small"", for example, designing a special glyph.",5,
17,Unclear rationale and insufficient justifications of visual designs,4,Y,Y,"Identify existing designs and discuss how the design advances the previous ones. Or conduct user studies, probably an informal one, to collect user feedback.",6,
18,Problematic visual designs,4,N,N,,6,
19,Missing discussions about alternative designs,4,N,Y,This is kinda templated. We should make it clear when it is needed to discuss alternatives.,2,
20,Over-complicated visual designs,4,Y,Y,"It can be because of the complex problem. Uncommon visual designs might also look complicated. This issue can be reflected in the evaluation. If the design can really help solve the problem, it is fine to spend some time learning it.",2,
21,Lacking workflow overviews or system demonstration,4,N,Y,Needs a clear workflow - which views to start? What is the next step?,5,
22,Uncertainty/stability/sensibility,4,N,Y,This might need some experiments to improve scientific rigor.,2,
23,Scalability,4,Y,Y,To discuss the data scale that can be supported by the system.,2,
24,Generalizability,4,Y,Y,Generalizability is definitely an important focus in the academic field. Researchers wonder whether the system can be applied to other application scenarios or other types of datasets.,2,
25,Usability,4,Y,Y,Ask users to use the system and report the problems encountered by users.,2,
26,Evaluations are incomplete and insufficient,4,Y,Y,VA systems are too complex to evaluate thoroughly.,6,
27,Unclear evaluation methods and protocols,4,Y,Y,,6,
28,"Lacking realism (e.g., real-world datasets, real-world users)",4,Y,Y,,3,
29,Lacking comparison with baseline approaches,4,Y,Y,"Baselines can be other approaches or developed by ourselves. For others' approaches, the system might not be open-sourced, and it is hard to replicate it for evaluation. A more feasible approach is to conduct ablation studies or compare the final system with previous versions. Such comparison can show the system has been improved during iteration.",2,
30,Lacking quantitative evaluation and feedback,4,Y,Y,"From a scientific perspective, it is better to combine qualitative and quantitative evaluation methods. However, quantitative evaluation is hard as it is hard to set up the study and find a sufficient number of experts.",1,
31,Insights in case studies are suspicious or not new,4,Y,Y,"Finding new insights proves the values of the system. Without unexpected insights, the case studies might read boring.",6,
32,Unclear interpretation of expert feedback,4,N,N,This is related to transparency. Few research papers provide the raw interview data.,6,
33,Insufficient discussions on limitations and implications,4,Y,Y,"This is very hard. Summarizing lessons learned could help future research, but this is really hard. Because many VA systems are developed using existing methodologies such as design studies, it is hard to find new implications. We should encourage new methodologies.",2,
34,Various presentation issues,4,Y,Y,,1,
35,Ethics,4,Y,Y,privacy issues,1,
36,Open-source,4,N,N,"I suggest open-sourcing, which helps replicate. This requires a huge workload, but it is worth it.",1,
1,Lacking arcs of coherence and consistency,5,N,Y,This is important. We should follow a logical way to conduct and report research. Claims need to be supported by evidence provided later.,2,
2,Unclear relevance to visual analytics,5,N,Y,"VA systems target not-well-defined problems where even the domain experts do not clearly understand their problem. This is different from ML where there exist clear datasets and criteria. But the VA systems, the problems and tasks are not well-defined. People do not have a clear picture of the problem space. This is why we conduct VA system research.",7,
3,Unclear/over-claimed contributions,5,Y,Y,"VA systems are still growing widely and we do not yet have clear criteria. For example, many works claimed they were the first, but it is hard to tell. Some people do not think conducting evaluations is a contribution. Some people do not trust the case studies, which might be cherry-picked.",3,
4,Unclear contributions to the visualization community,5,N,Y,"For application papers, it is important to identify other contributions except for the VA systems, such as workflows, visual metaphors, and interactive algorithms.",6,
5,Unclear novelty of VA systems,5,Y,Y,"The novelty of VA systems lies in the workflow, in particular how the VA workflow is integrated into the domain workflow and improves the efficiency.",7,
6,Missing related work,5,Y,Y,The visualization community is rather interdisciplinary. Research work outside the VIS could be missing.,1,
7,Inadequate discussion about related work,5,Y,Y,,1,
8,Unclear domain experts or target users,5,N,Y,"It depends on whether the VA system needs users to acquire certain knowledge or experience, which is case-by-case. Many VA systems are not designed for novice users and require some expertise.",6,
9,Unclear methodology and methods for domain problem abstraction,5,Y,Y,Many submissions miss this step. Understanding the domain problem is really hard and requires iterative collaboration with experts. ,5,
10,Insufficient abstraction to visualization tasks,5,Y,Y,It remains unclear the degree needed for abstraction. This is sometimes an engineering problem regarding how the VA system should be designed.,6,Related to methodology for problem abstraction
11,Unclear definitions and explanations of data,5,N,Y,VA systems are a part of data science. Many VA problems emerge from data. It is important to describe the data.,3,
12,Missing technical details,5,N,Y,Explaining the input and output. Sometimes will cut down this part due to limited page length.,1,
13,Novel data processing algorithms,5,N,Y,Good to have since the model is a part of VA.,5,
14,Unclear justifications of algorithms/models,5,Y,Y,,4,
15,Missing details and insufficient explanations of visual designs,5,Y,Y,"VA systems are complex. Many authors think they explain the system well, which is actually not.",6,
16,Unclear novelty of visual design,5,N,Y,Novel visual design is not a must.,7,
17,Unclear rationale and insufficient justifications of visual designs,5,N,Y,The design should be based on the tasks. How can the design fulfill the visualization task?,5,
18,Problematic visual designs,5,N,Y,"Some beginners of VA systems do not have sufficient knowledge. There should be some linkage from data, through tasks, to visualization.",6,
19,Missing discussions about alternative designs,5,Y,Y,"Some beginners do not know they need to discuss alternatives, which is a method for justifying visualization designs. However, we cannot ask the authors to discuss alternatives for each visual design. ",5,
20,Over-complicated visual designs,5,Y,Y,"There is a tradeoff between novelty and complexity. Some VA systems hope to achieve novelty as the cost of complexity. This tradeoff has been a problem for the whole community. There exists a gap between research (even application papers) between actual applications. We need to think more about how to evaluate and validate the real application, for example, some designs can really help in the field even they are simple. The community should update the assessment criteria for such studies.",6,
21,Lacking workflow overviews or system demonstration,5,N,Y,,4,
22,Uncertainty/stability/sensibility,5,Y,Y,"This is an important problem that sometimes needs additional experiments. Since VA systems are often case-by-case and adhoc, stability is vital.",3,
23,Scalability,5,Y,Y,Usually a future work. This might require new algorithms or engineering efforts.,5,
24,Generalizability,5,Y,Y,Many VA systems are proposed to solve domain-specific problems and not for generalization. But it is good to reflect whether the system can be applied to other data.,2,
25,Usability,5,Y,Y,,4,Related to complex designs.
26,Evaluations are incomplete and insufficient,5,Y,Y,"Traditionally speaking, evaluating VA systems is very complex and challenging. We often cannot do controlled experiments as in InfoVis research because we cannot abstract into comparable tasks. VA systems are more about the overall workflow, which needs to the validated through actual deployment. We should explore new evaluation methods. For instance, use eye-tracking techniques to observe whether end-users follow the proposed VA workflow to perform analysis.",5,
27,Unclear evaluation methods and protocols,5,N,Y,Needs training.,5,
28,"Lacking realism (e.g., real-world datasets, real-world users)",5,N,Y,I totally agree. ,5,
29,Lacking comparison with baseline approaches,5,Y,Y,"VA systems are still growing widely. Many datasets or systems are owned by a few persons and not shared. Thus there is often no baseline approach and baseline datasets. The VAST Challenge is trying to develop baselines, which have the ground truth. But the data is not real.",4,
30,Lacking quantitative evaluation and feedback,5,N,Y,"Accuracy, time, or improvements of workflow?",5,
31,Insights are suspicious or not new,5,N,Y,"The underlying problem is that VA systems do not have a standard. Authors write the case study and insights themselves, and there is no common grounds to compare. If the experts use the system for an extended period and find new insights, this can confirm the values of the VA system.",6,
32,Unclear interpretation of expert feedback,5,N,Y,Positive feedback is meaningless.,4,
33,Insufficient discussions on limitations and implications,5,Y,Y,"There are two perspectives, how to develop a VA system and how to deploy/use the system.",2,Related to contributions
34,Various presentation issues,5,Y,Y,,2,
35,Ethics,5,Y,Y,"Social media visualization might relate to ethics, which needs to be aggregated.",2,
36,Open-source,5,Y,Y,"This is a problem for the whole VA system community. A VA system can be sold for much many, then many people do not want to make it open source. Providing a demonstration video is sufficient. If there are some algorithms or other modules, they can be open-sourced. We cannot ask the whole system to be open sourced.",5,
1,Lacking arcs of coherence and consistency,6,N,Y,"It requires logical writing, especially to check whether the nested components of VA systems are connected well.",7,
2,Unclear relevance to visual analytics,6,Y,Y,"It is usually not a major concern since the boundary between VA and InfoVis systems is vague. However, the studied problem should be a pure computational problem. Let's say, the visualization should not just visualize the computed results. In contrast, VA needs to integrate computational methods with human feedback through interactive visualizations.",7,
3,Unclear/over-claimed contributions,6,N,Y,Now it is a common practice to summarize contributions.,2,
4,Unclear contributions to the visualization community,6,N,N,"There are different research tastes. For me, a VA system should not be purely considered as a tool to the domain problem. There needs some take-away, guidelines, new visualization approaches, advice for the visualization design.",3,
5,Unclear novelty of VA systems,6,N,N,"Many papers are mixed type, contributing both VA systems and new VA designs. For application papers, I do not expect novel designs. However, this is always tricky since a research paper needs new knowledge. New knowledge has many forms, such as a VA system, a VA workflow, and a problem abstraction.",3,
6,Missing related work,6,Y,Y,Some research fields might be weakly related.,1,
7,Inadequate discussion about related work,6,Y,Y,,1,
8,Unclear domain experts or target users,6,N,Y,"There is a clear guideline to clarify the target users at the beginning of the design study. However, in practice, there might be some problems. For example, experts become unavailable during the study.",7,
9,Unclear methodology and methods for problem abstraction,6,N,N,"There are three common methods: interview, fly-on-the-wall (observation), and in-between. The HCI community seems to prefer the second one (pure observation), which however might not be very applicable to VA systems. If we do not actively ask, experts might not report.",7,
10,Insufficient abstraction,6,N,Y,"The golden standard is to differentiate the domain problem and visualization problems. However, the boundary is not always clear in practice, and it is possible to mix them up. I think mixing up is fine as long as it reads clear enough.",7,
11,Unclear definitions and explanations of data,6,N,Y,This problem makes the whole system unclear.,5,
12,Missing technical details,6,N,Y,"Sometimes I will raise this issue, but I don't think it is very critical. I as a reader might be interested in certain technical details.",1,
13,Novel data processing algorithms,6,N,N,"It depends on whether the algorithm is closely integrated into the VA systems. If the algorithm can serve as a standalone paper, it should be split. If it is closely related (for example, algorithms that support real-time interaction), it should be appreciated.",4,
14,Unclear justifications of algorithms/models,6,N,N,"It is more important to clarify which algorithms are needed here, for example, the input and output. It is not so important to explain the specific choices since there are always many candidates.",2,
15,Missing details and insufficient explanations of visual designs,6,N,N,Many designs might look simple to visualization researchers but not for normal readers and experts. Visualization researchers should pay more attention to this problem.,4,
16,Unclear novelty of visual design,6,N,N,"As said, it depends on whether there is new knowledge in other parts.",4,Related to the overall novelty.
17,Unclear rationale and insufficient justifications of visual designs,6,N,Y,"This is an important problem. Sometimes it justifies the design by clearly stating the data type and task. Sometimes it is important to discuss the most crucial information as seen by experts, and how the visualization design support this.",5,
18,Problematic visual designs,6,N,Y,This is a fundamental problem that needs training. Sometimes it is not really problematic; readers do not understand the tradeoffs made.,5,
19,Missing discussions about alternative designs,6,N,N,"It depends on whether there are apparent alternatives. Sometimes it is not necessary to discuss alternatives, for example, in obvious scenarios. I prefer to discuss alternatives when there are valuable, for example, generate takeaways for readers.",7,
20,Over-complicated visual designs,6,Y,N,"This is a serious problem for the VA system to be actually used. The mental load of humans cannot afford over-complex designs. For example, what is the maximal number of encodings for a glyph? This needs further research. It is important to provide walking-through tutorial and demo videos to help domain experts understand the design.",7,
21,Lacking workflow overviews or system demonstration,6,N,Y,The most important information is how to use multiple views to perform analysis. Some manuscripts just introduce each view one-by-one. This is insufficient.,7,
22,Uncertainty/stability/sensibility,6,N,N,It depeonds on the domain problem.,4,
23,Scalability,6,N,Y,This needs to be considered in the context of analysis. What is the typical scale in the problem domain?,1,
24,Generalizability,6,N,Y,"We common raise the problem because we do not hope the VA system research to be building a tool. Instead, we hope our field can continue building up and accumulating knowledge. Generalizability provides takeaways for other researchers.",5,Related to contributions.
25,Usability,6,N,N,"Many evaluations are performed in the lab instead of out of the lab. It is meaningful to explore how VA systems fit into experts' workflow, to which degree do the system help, how frequently and how do experts use the system. Only a few papers explore this problem, but this practice is really meaningful to our domain.",2,Related to evaluation.
26,Evaluations are incomplete and insufficient,6,N,N,"This is a big problem. We need to appreciate visualization designs that are adapted out of the lab and in the everyday domain workflow. Currently we do not have alternative methods for evaluation, because the domain problem is complex.",2,
27,Unclear evaluation methods and protocols,6,N,Y,A minor problem unless the study design is flawed.,2,
28,Lacking realism,6,N,N,"This is a problem. We currently evaluate the VA systems in the lab but not in the field. In-field evaluation needs more effort. The data and task cannot be arbitrarily set. Instead, they should be chosen for real scenarios.",4,
29,Lacking comparison with baseline approaches,6,Y,Y,"In general, we often can not find a fair baseline. We also lack a benchmark dataset/task. To move forward, we should abstract domain-specific problems into abstract tasks, and benchmark the abstraction. This can be feasible now since we have done so much research on domain problems.",2,
30,Lacking quantitative evaluation and feedback,6,N,N,HCI approach. It depends on whether the tasks be quantitatively evaluated. Many tasks can not be quantified.,4,
31,Insights are suspicious or not new,6,Y,N,"Personally, I do not care much. It is hard to say. If there are new insights, how can I validate new insights? Insights in the medical domain need to be verified strictly. However, in other VA scenarios, how can I evaluate the insights and verify whether they are significant and solid? ",6,
32,Unclear interpretation of expert feedback,6,Y,Y,It might be because of the limited number of experts. I recommend discussing experts' suggestions and feedback to benefit similar other research.,4,
33,Insufficient discussions on limitations and implications,6,Y,Y,A common issue for novices/beginners. Not specific to VA system research.,1,
34,Various presentation issues,6,Y,Y,"For visualization research, the figures are particularly important and should show expertise.",1,
35,Ethics,6,N,N,,1,
36,Open-source,6,N,Y,I advise doing so because this could increase credits. Encourage but not a must. I prefer the authors to discuss the roadmaps for improving reproducibility instead of asking them to submit codes for review.,1,
1,Lacking arcs of coherence and consistency,7,Y,Y,"A common problem. Especially for target users. For example, users are said to be ML experts and workers, but the evaluation only involves ML experts.",1,
2,Unclear relevance to visual analytics,7,Y,N,VA should involve both humans and models. Some problems are more like ML problems that reviewers find hard to judge the novelty.,7,
3,Unclear/over-claimed contributions,7,Y,Y,"Contributions are sometimes unclear, needing re-formulation.",1,Related to relevance
4,Unclear contributions to the visualization community,7,Y,Y,"I suggest referring to Tamara's nested model. The contributions can be problem formalization, data transformation, visual design, and algorithms.",3,Related to relevance
5,Unclear novelty of VA systems,7,N,N,,7,
6,Missing related work,7,N,Y,,1,
7,Inadequate discussion about related work,7,N,Y,,1,
8,Unclear domain experts or target users,7,Y,N,"For XAI work, it needs to clarify the system target ML experts or general users. ",4,
9,Unclear methodology and methods for problem abstraction,7,Y,N,"I was recently being asked a lot. About the details of collaboration with ML experts, for example, the meeting frequency, time, and experts' typical workflow.",2,
10,Insufficient abstraction,7,N,N,This is for generalization.,2,
11,Unclear definitions and explanations of data,7,N,N,I usually work on common datasets.,2,
12,Missing technical details,7,Y,Y,Minor issues. We have more background while readers might not be aware. ,1,
13,Novel data processing algorithms,7,N,N,It depends on whether this is listed as a contribution.,3,
14,Unclear justifications of algorithms/models,7,N,N,"It is important to abstract the problem, for example, cluster or frequent pattern mining. Then I usually use the ""best"" algorithms.",3,
15,Missing details and insufficient explanations of visual designs,7,N,Y,This is an important problem as a reviewer. I expect intuitive figures. Hard to understand if one cannot understand the visual encodings.,4,
16,Unclear novelty of visual design,7,Y,N,It depends on whether existing designs can fulfill the requirements.,4,
17,Unclear rationale and insufficient justifications of visual designs,7,Y,Y,Visualization researchers care about this part a lot. ,4,
18,Problematic visual designs,7,N,Y,Color issues.,4,
19,Missing discussions about alternative designs,7,Y,Y,"It is important to adopt this practice: after abstracting data, we must be able to find corresponding visual encodings. And we need to compare ours with those existing designs. If we do not follow this practice, the design progress might be unsystematic and weak.",4,
20,Over-complicated visual designs,7,N,N,I usually discuss this from other angles such as learning curves.,4,Related to target users.
21,Lacking workflow overviews or system demonstration,7,N,N,Start to add a system overview since VIS 2019.,3,
22,Uncertainty/stability/sensibility,7,N,N,,2,
23,Scalability,7,N,Y,"Scalability is a big research topic. If a VA system can solve this problem, I would consider this to be a strong contribution.",2,
24,Generalizability,7,Y,N,,2,
25,Usability,7,N,N,,2,
26,Evaluations are incomplete and insufficient,7,N,N,Consider a user study?,1,
27,Unclear evaluation methods and protocols,7,Y,Y,To add more details.,1,
28,Lacking realism,7,N,Y,"I sometimes use toy datasets and get criticized. I think it is meaningful to use more realistic datasets, such as medical datasets.",5,
29,Lacking comparison with baseline approaches,7,Y,Y,I usually compare the VA ssytem with pure automated methods (for XAI research).,5,
30,Lacking quantitative evaluation and feedback,7,N,N,Compared with automated approaches in my application domain.,3,
31,Insights are suspicious or not new,7,N,N,"Hard to assess case studies. For insights, one perspective might be whether the insights are actionable; for example, they help experts improve the model or data quality.",3,
32,Unclear interpretation of expert feedback,7,N,N,Discuss important insights rasied by experts.,3,
33,Insufficient discussions on limitations and implications,7,Y,Y,Minor issues.,1,
34,Various presentation issues,7,Y,Y,,1,
35,Ethics,7,N,N,,1,
36,Open-source,7,Y,N,I think open source is a strong contribution but not a must.,2,
1,Lacking arcs of coherence and consistency,8,Y,N,,1,
2,Unclear relevance to visual analytics,8,Y,N,I think our field should be more open-minded.,7,
3,Unclear/over-claimed contributions,8,Y,Y,Titles are sometimes found to be over-claimed. Need to match with the actual contributions.,3,
4,Unclear contributions to the visualization community,8,Y,N,Contributions can be visualization algorithms such as layout algorithms.,5,
5,Unclear novelty of VA systems,8,N,N,,7,
6,Missing related work,8,N,Y,Need to discuss some weakly-related work.,1,
7,Inadequate discussion about related work,8,N,Y,,1,
8,Unclear domain experts or target users,8,N,N,Discuss the user groups.,7,
9,Unclear methodology and methods for problem abstraction,8,N,Y,Sometimes this part might be ignored.,4,
10,Insufficient abstraction,8,N,N,It depends on the domain problems - whether they are clearly defined.,6,
11,Unclear definitions and explanations of data,8,N,N,I use public datasets.,2,
12,Missing technical details,8,Y,Y,Parameter settings are typical questions. How do experts decide the parameters setting? Some papers might not even provide technical information.,1,
13,Novel data processing algorithms,8,N,N,,3,
14,Unclear justifications of algorithms/models,8,Y,N,The key is to define the problem and survey techniques can be used to solve the problem.,5,
15,Missing details and insufficient explanations of visual designs,8,N,Y,This is often limited by page lengths => might miss some details. We need to provide self-explanatory figures with legends.,6,
16,Unclear novelty of visual design,8,N,N,Not a must.,5,
